anio,fuero,tipo,valor
2025,civil,Allanamiento,153
2025,civil,Caducidad,9885
2025,civil,Conciliación,5592
2025,civil,Desistimiento,2204
2025,civil,Incompetencia,15972
2025,civil,Ingresadas,207090
2025,civil,Interlocutorios,73997
2025,civil,Sentencia,38568
2025,civil,Total Resueltas,152609
2025,civil,Transacción,6238
2025,trabajo,Allanamiento,79
2025,trabajo,Caducidad,8001
2025,trabajo,Conciliación,36838
2025,trabajo,Desistimiento,858
2025,trabajo,Incompetencia,4593
2025,trabajo,Ingresadas,114649
2025,trabajo,Interlocutorios,8310
2025,trabajo,Sentencia,26183
2025,trabajo,Total Resueltas,103032
2025,trabajo,Transacción,18170
