anio,departamento/sede,tipo,valor
2017,AZUL,Ingresadas,1695
2017,AZUL Sede OLAVARRIA,Ingresadas,1746
2017,AZUL Sede TANDIL,Ingresadas,2106
2017,BAHIA BLANCA,Ingresadas,6992
2017,BAHIA BLANCA Sede TRES ARROYOS,Ingresadas,1296
2017,DOLORES,Ingresadas,2202
2017,JUNIN,Ingresadas,3612
2017,LA MATANZA,Ingresadas,14287
2017,LA PLATA,Ingresadas,29047
2017,LOMAS DE ZAMORA,Ingresadas,27615
2017,LOMAS DE ZAMORA Sede AVELLANEDA,Ingresadas,16778
2017,LOMAS DE ZAMORA Sede LANUS,Ingresadas,9650
2017,MAR DEL PLATA,Ingresadas,24644
2017,MERCEDES,Ingresadas,5653
2017,MORENO-GRAL.RODRIGUEZ,Ingresadas,3990
2017,MORON,Ingresadas,20918
2017,NECOCHEA,Ingresadas,5177
2017,PERGAMINO,Ingresadas,3520
2017,QUILMES,Ingresadas,15258
2017,SAN ISIDRO,Ingresadas,19635
2017,SAN MARTIN,Ingresadas,18697
2017,SAN NICOLAS,Ingresadas,5393
2017,TRENQUE LAUQUEN,Ingresadas,1339
2017,ZARATE-CAMPANA,Ingresadas,5379
2017,AZUL,Sentencia,572
2017,AZUL Sede OLAVARRIA,Sentencia,1376
2017,AZUL Sede TANDIL,Sentencia,714
2017,BAHIA BLANCA,Sentencia,2097
2017,BAHIA BLANCA Sede TRES ARROYOS,Sentencia,480
2017,DOLORES,Sentencia,438
2017,JUNIN,Sentencia,1429
2017,LA MATANZA,Sentencia,1955
2017,LA PLATA,Sentencia,5483
2017,LOMAS DE ZAMORA,Sentencia,4385
2017,LOMAS DE ZAMORA Sede AVELLANEDA,Sentencia,239
2017,LOMAS DE ZAMORA Sede LANUS,Sentencia,403
2017,MAR DEL PLATA,Sentencia,2375
2017,MERCEDES,Sentencia,1547
2017,MORENO-GRAL.RODRIGUEZ,Sentencia,454
2017,MORON,Sentencia,3173
2017,NECOCHEA,Sentencia,161
2017,PERGAMINO,Sentencia,1104
2017,QUILMES,Sentencia,4697
2017,SAN ISIDRO,Sentencia,4261
2017,SAN MARTIN,Sentencia,6652
2017,SAN NICOLAS,Sentencia,1027
2017,TRENQUE LAUQUEN,Sentencia,207
2017,ZARATE-CAMPANA,Sentencia,1049
2017,AZUL,Conciliación,13
2017,AZUL Sede OLAVARRIA,Conciliación,66
2017,AZUL Sede TANDIL,Conciliación,6
2017,BAHIA BLANCA,Conciliación,11
2017,BAHIA BLANCA Sede TRES ARROYOS,Conciliación,4
2017,DOLORES,Conciliación,42
2017,JUNIN,Conciliación,64
2017,LA MATANZA,Conciliación,96
2017,LA PLATA,Conciliación,399
2017,LOMAS DE ZAMORA,Conciliación,542
2017,LOMAS DE ZAMORA Sede AVELLANEDA,Conciliación,137
2017,LOMAS DE ZAMORA Sede LANUS,Conciliación,12
2017,MAR DEL PLATA,Conciliación,227
2017,MERCEDES,Conciliación,84
2017,MORENO-GRAL.RODRIGUEZ,Conciliación,10
2017,MORON,Conciliación,143
2017,NECOCHEA,Conciliación,8
2017,PERGAMINO,Conciliación,30
2017,QUILMES,Conciliación,124
2017,SAN ISIDRO,Conciliación,142
2017,SAN MARTIN,Conciliación,129
2017,SAN NICOLAS,Conciliación,16
2017,TRENQUE LAUQUEN,Conciliación,25
2017,ZARATE-CAMPANA,Conciliación,42
2017,AZUL,Allanamiento,8
2017,AZUL Sede OLAVARRIA,Allanamiento,0
2017,AZUL Sede TANDIL,Allanamiento,1
2017,BAHIA BLANCA,Allanamiento,7
2017,BAHIA BLANCA Sede TRES ARROYOS,Allanamiento,29
2017,DOLORES,Allanamiento,1
2017,JUNIN,Allanamiento,6
2017,LA MATANZA,Allanamiento,2
2017,LA PLATA,Allanamiento,5
2017,LOMAS DE ZAMORA,Allanamiento,4
