anio,departamento/sede,tipo,valor
2017,AZUL,Ingresadas,385
2017,AZUL Sede OLAVARRIA,Ingresadas,572
2017,AZUL Sede TANDIL,Ingresadas,722
2017,BAHIA BLANCA,Ingresadas,1756
2017,BAHIA BLANCA Sede TRES ARROYOS,Ingresadas,317
2017,DOLORES,Ingresadas,1702
2017,JUNIN,Ingresadas,1531
2017,LA MATANZA,Ingresadas,4801
2017,LA PLATA,Ingresadas,12403
2017,LOMAS DE ZAMORA,Ingresadas,8342
2017,LOMAS DE ZAMORA Sede AVELLANEDA,Ingresadas,2321
2017,LOMAS DE ZAMORA Sede LANUS,Ingresadas,2102
2017,MAR DEL PLATA,Ingresadas,5389
2017,MERCEDES,Ingresadas,1409
2017,MERCEDES Sede BRAGADO,Ingresadas,649
2017,MORENO-GRAL.RODRIGUEZ,Ingresadas,1888
2017,MORON,Ingresadas,4838
2017,NECOCHEA,Ingresadas,328
2017,PERGAMINO,Ingresadas,817
2017,QUILMES,Ingresadas,5023
2017,QUILMES Sede FLORENCIO VARELA,Ingresadas,920
2017,SAN ISIDRO,Ingresadas,12572
2017,SAN ISIDRO Sede PILAR,Ingresadas,2227
2017,SAN MARTIN,Ingresadas,4812
2017,SAN MARTIN Sede SAN MIGUEL,Ingresadas,2710
2017,SAN NICOLAS,Ingresadas,3653
2017,TRENQUE LAUQUEN,Ingresadas,477
2017,ZARATE-CAMPANA Sede CAMPANA,Ingresadas,2098
2017,ZARATE-CAMPANA Sede ZARATE,Ingresadas,2311
2017,AZUL,Sentencia,48
2017,AZUL Sede OLAVARRIA,Sentencia,108
2017,AZUL Sede TANDIL,Sentencia,89
2017,BAHIA BLANCA,Sentencia,207
2017,BAHIA BLANCA Sede TRES ARROYOS,Sentencia,85
2017,DOLORES,Sentencia,183
2017,JUNIN,Sentencia,258
2017,LA MATANZA,Sentencia,306
2017,LA PLATA,Sentencia,1072
2017,LOMAS DE ZAMORA,Sentencia,619
2017,LOMAS DE ZAMORA Sede AVELLANEDA,Sentencia,139
2017,LOMAS DE ZAMORA Sede LANUS,Sentencia,132
2017,MAR DEL PLATA,Sentencia,607
2017,MERCEDES,Sentencia,125
2017,MERCEDES Sede BRAGADO,Sentencia,62
2017,MORENO-GRAL.RODRIGUEZ,Sentencia,116
2017,MORON,Sentencia,370
2017,NECOCHEA,Sentencia,38
2017,PERGAMINO,Sentencia,148
2017,QUILMES,Sentencia,375
2017,QUILMES Sede FLORENCIO VARELA,Sentencia,30
2017,SAN ISIDRO,Sentencia,657
2017,SAN ISIDRO Sede PILAR,Sentencia,53
2017,SAN MARTIN,Sentencia,265
2017,SAN MARTIN Sede SAN MIGUEL,Sentencia,142
2017,SAN NICOLAS,Sentencia,201
2017,TRENQUE LAUQUEN,Sentencia,50
2017,ZARATE-CAMPANA Sede CAMPANA,Sentencia,124
2017,ZARATE-CAMPANA Sede ZARATE,Sentencia,77
2017,AZUL,Conciliación,259
2017,AZUL Sede OLAVARRIA,Conciliación,225
2017,AZUL Sede TANDIL,Conciliación,385
2017,BAHIA BLANCA,Conciliación,891
2017,BAHIA BLANCA Sede TRES ARROYOS,Conciliación,58
2017,DOLORES,Conciliación,1097
2017,JUNIN,Conciliación,578
2017,LA MATANZA,Conciliación,1413
2017,LA PLATA,Conciliación,3930
2017,LOMAS DE ZAMORA,Conciliación,2822
2017,LOMAS DE ZAMORA Sede AVELLANEDA,Conciliación,672
2017,LOMAS DE ZAMORA Sede LANUS,Conciliación,721
2017,MAR DEL PLATA,Conciliación,3626
2017,MERCEDES,Conciliación,492
2017,MERCEDES Sede BRAGADO,Conciliación,404
2017,MORENO-GRAL.RODRIGUEZ,Conciliación,429
2017,MORON,Conciliación,1520
2017,NECOCHEA,Conciliación,195
2017,PERGAMINO,Conciliación,581
2017,QUILMES,Conciliación,2390
2017,QUILMES Sede FLORENCIO VARELA,Conciliación,152
2017,SAN ISIDRO,Conciliación,4692
2017,SAN ISIDRO Sede PILAR,Conciliación,695
2017,SAN MARTIN,Conciliación,1531
2017,SAN MARTIN Sede SAN MIGUEL,Conciliación,820
2017,SAN NICOLAS,Conciliación,2209
2017,TRENQUE LAUQUEN,Conciliación,352
2017,ZARATE-CAMPANA Sede CAMPANA,Conciliación,1129
2017,ZARATE-CAMPANA Sede ZARATE,Conciliación,1187
2017,AZUL,Allanamiento,0
2017,AZUL Sede OLAVARRIA,Allanamiento,0
2017,AZUL Sede TANDIL,Allanamiento,0
2017,BAHIA BLANCA,Allanamiento,2
2017,BAHIA BLANCA Sede TRES ARROYOS,Allanamiento,1
2017,DOLORES,Allanamiento,3
2017,JUNIN,Allanamiento,0
2017,LA MATANZA,Allanamiento,3
2017,LA PLATA,Allanamiento,3
2017,LOMAS DE ZAMORA,Allanamiento,3
2017,LOMAS DE ZAMORA Sede AVELLANEDA,Allanamiento,1
2017,LOMAS DE ZAMORA Sede LANUS,Allanamiento,1
2017,MAR DEL PLATA,Allanamiento,3
2017,MERCEDES,Allanamiento,1
2017,MERCEDES Sede BRAGADO,Allanamiento,2
2017,MORENO-GRAL.RODRIGUEZ,Allanamiento,6
2017,MORON,Allanamiento,3
2017,NECOCHEA,Allanamiento,0
2017,PERGAMINO,Allanamiento,0
2017,QUILMES,Allanamiento,6
2017,QUILMES Sede FLORENCIO VARELA,Allanamiento,0
2017,SAN ISIDRO,Allanamiento,2
2017,SAN ISIDRO Sede PILAR,Allanamiento,0
2017,SAN MARTIN,Allanamiento,7
2017,SAN MARTIN Sede SAN MIGUEL,Allanamiento,2
2017,SAN NICOLAS,Allanamiento,0
2017,TRENQUE LAUQUEN,Allanamiento,0
2017,ZARATE-CAMPANA Sede CAMPANA,Allanamiento,0
2017,ZARATE-CAMPANA Sede ZARATE,Allanamiento,1
2017,AZUL,Transacción,0
2017,AZUL Sede OLAVARRIA,Transacción,0
2017,AZUL Sede TANDIL,Transacción,1
2017,BAHIA BLANCA,Transacción,0
2017,BAHIA BLANCA Sede TRES ARROYOS,Transacción,92
2017,DOLORES,Transacción,0
2017,JUNIN,Transacción,0
2017,LA MATANZA,Transacción,0
2017,LA PLATA,Transacción,353
2017,LOMAS DE ZAMORA,Transacción,390
2017,LOMAS DE ZAMORA Sede AVELLANEDA,Transacción,1
2017,LOMAS DE ZAMORA Sede LANUS,Transacción,0
2017,MAR DEL PLATA,Transacción,398
2017,MERCEDES,Transacción,0
2017,MERCEDES Sede BRAGADO,Transacción,0
2017,MORENO-GRAL.RODRIGUEZ,Transacción,0
2017,MORON,Transacción,0
2017,NECOCHEA,Transacción,0
2017,PERGAMINO,Transacción,0
2017,QUILMES,Transacción,0
2017,QUILMES Sede FLORENCIO VARELA,Transacción,2
2017,SAN ISIDRO,Transacción,735
2017,SAN ISIDRO Sede PILAR,Transacción,0
2017,SAN MARTIN,Transacción,183
2017,SAN MARTIN Sede SAN MIGUEL,Transacción,6
2017,SAN NICOLAS,Transacción,0
2017,TRENQUE LAUQUEN,Transacción,0
2017,ZARATE-CAMPANA Sede CAMPANA,Transacción,0
2017,ZARATE-CAMPANA Sede ZARATE,Transacción,0
2017,AZUL,Caducidad,0
2017,AZUL Sede OLAVARRIA,Caducidad,6
2017,AZUL Sede TANDIL,Caducidad,2
2017,BAHIA BLANCA,Caducidad,38
2017,BAHIA BLANCA Sede TRES ARROYOS,Caducidad,14
2017,DOLORES,Caducidad,7
2017,JUNIN,Caducidad,209
2017,LA MATANZA,Caducidad,285
2017,LA PLATA,Caducidad,49
2017,LOMAS DE ZAMORA,Caducidad,273
2017,LOMAS DE ZAMORA Sede AVELLANEDA,Caducidad,288
2017,LOMAS DE ZAMORA Sede LANUS,Caducidad,129
2017,MAR DEL PLATA,Caducidad,2
2017,MERCEDES,Caducidad,16
2017,MERCEDES Sede BRAGADO,Caducidad,20
2017,MORENO-GRAL.RODRIGUEZ,Caducidad,3
2017,MORON,Caducidad,350
2017,NECOCHEA,Caducidad,0
2017,PERGAMINO,Caducidad,0
2017,QUILMES,Caducidad,420
2017,QUILMES Sede FLORENCIO VARELA,Caducidad,8
2017,SAN ISIDRO,Caducidad,211
2017,SAN ISIDRO Sede PILAR,Caducidad,28
2017,SAN MARTIN,Caducidad,466
2017,SAN MARTIN Sede SAN MIGUEL,Caducidad,89
2017,SAN NICOLAS,Caducidad,7
2017,TRENQUE LAUQUEN,Caducidad,81
2017,ZARATE-CAMPANA Sede CAMPANA,Caducidad,147
2017,ZARATE-CAMPANA Sede ZARATE,Caducidad,91
2017,AZUL,Desistimiento,12
2017,AZUL Sede OLAVARRIA,Desistimiento,8
2017,AZUL Sede TANDIL,Desistimiento,4
2017,BAHIA BLANCA,Desistimiento,10
2017,BAHIA BLANCA Sede TRES ARROYOS,Desistimiento,0
2017,DOLORES,Desistimiento,12
2017,JUNIN,Desistimiento,80
2017,LA MATANZA,Desistimiento,11
2017,LA PLATA,Desistimiento,38
2017,LOMAS DE ZAMORA,Desistimiento,48
2017,LOMAS DE ZAMORA Sede AVELLANEDA,Desistimiento,14
2017,LOMAS DE ZAMORA Sede LANUS,Desistimiento,8
2017,MAR DEL PLATA,Desistimiento,22
2017,MERCEDES,Desistimiento,4
2017,MERCEDES Sede BRAGADO,Desistimiento,2
2017,MORENO-GRAL.RODRIGUEZ,Desistimiento,15
2017,MORON,Desistimiento,36
2017,NECOCHEA,Desistimiento,4
2017,PERGAMINO,Desistimiento,0
2017,QUILMES,Desistimiento,31
2017,QUILMES Sede FLORENCIO VARELA,Desistimiento,2
2017,SAN ISIDRO,Desistimiento,31
2017,SAN ISIDRO Sede PILAR,Desistimiento,5
2017,SAN MARTIN,Desistimiento,23
2017,SAN MARTIN Sede SAN MIGUEL,Desistimiento,24
2017,SAN NICOLAS,Desistimiento,8
2017,TRENQUE LAUQUEN,Desistimiento,24
2017,ZARATE-CAMPANA Sede CAMPANA,Desistimiento,9
2017,ZARATE-CAMPANA Sede ZARATE,Desistimiento,21
2017,AZUL,Interlocutorios,0
